mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,spec_centroid_mean,spec_centroid_std,spec_band_mean,spec_band_std,spec_rolloff_mean,spec_rolloff_std,spec_flat_mean,spec_flat_std,rms_mean,rms_std,zero_cross_rate_mean,zero_cross_rate_std,flux_mean,flux_std,debit
-251.0096435546875,77.47012329101562,-81.90447998046875,-44.8306884765625,-48.30229568481445,-34.895023345947266,1.9675756692886353,-16.845176696777344,16.035995483398438,5.667374610900879,-3.825326919555664,4.4157257080078125,-13.380834579467773,24.545698165893555,22.612594604492188,16.504825592041016,14.979519844055176,11.801070213317871,12.25599193572998,12.829864501953125,10.040111541748047,9.761724472045898,8.86382007598877,9.389631271362305,8.419238090515137,7.129151344299316,2963.4404825469096,588.3783312185724,3097.631620274338,431.35751951302495,5318.428634751773,1316.0486898222266,0.009312933310866356,0.008325161412358284,0.03817307949066162,0.015328862704336643,0.09976520944148937,0.03309500147422517,0.017698118463158607,0.008251795545220375,6.23
-233.29690551757812,77.6309814453125,-79.78353881835938,-39.73434829711914,-46.35282897949219,-38.511451721191406,1.2529339790344238,-20.228981018066406,10.712748527526855,4.694231986999512,-3.5521461963653564,11.719548225402832,-12.953804016113281,26.01384735107422,19.498104095458984,15.806668281555176,14.660232543945312,11.934102058410645,12.933189392089844,13.624407768249512,11.505009651184082,8.466378211975098,8.026400566101074,9.200940132141113,9.401026725769043,7.417901039123535,3113.528652591984,595.7513694024118,3190.5220527923902,484.85733433431864,5741.5634984025555,1561.6665485810886,0.012130223214626312,0.010671556927263737,0.03882545605301857,0.012469393201172352,0.10642815245607029,0.025021073923065237,0.017763745039701462,0.006519416347146034,6.25
-221.4994354248047,67.45865631103516,-75.1233901977539,-25.454078674316406,-46.95185470581055,-34.70849609375,-5.758867263793945,-24.518047332763672,6.658195495605469,7.131313323974609,-1.0913442373275757,8.653450965881348,-9.330256462097168,27.831506729125977,19.192245483398438,16.11151123046875,13.410322189331055,12.07419490814209,11.969514846801758,14.038995742797852,11.063642501831055,9.746877670288086,9.190695762634277,9.003920555114746,7.731081485748291,7.70059871673584,3347.0321849693796,519.9332452199361,3193.852238082875,335.2287733357957,5951.446611253197,867.8668475960787,0.017238331958651543,0.012632411904633045,0.03787694498896599,0.012561528012156487,0.11992112571930946,0.03581124942074495,0.016858771443367004,0.0065274424850940704,7.518
-191.00381469726562,69.94571685791016,-57.09605026245117,-17.259071350097656,-49.4676399230957,-44.10745620727539,-7.617184162139893,-32.515560150146484,-1.2854399681091309,-3.0523135662078857,-7.835748672485352,6.127272129058838,-10.166898727416992,15.94226360321045,13.205951690673828,12.7178373336792,11.148397445678711,9.890657424926758,9.411946296691895,7.932816505432129,9.035314559936523,8.170049667358398,8.373374938964844,7.602879047393799,5.9832282066345215,5.874213218688965,3582.947038455956,437.146861031295,3498.5310719367044,292.24813542779015,6383.207070707071,858.0132790247674,0.021526489406824112,0.012094266712665558,0.04330525919795036,0.00995643436908722,0.12254872948232323,0.027281438390346958,0.01807965524494648,0.005074830260127783,8.81
-190.29185485839844,92.7158203125,-52.386844635009766,-11.360574722290039,-32.1439208984375,-30.964252471923828,-10.04216480255127,-27.559743881225586,-6.498298645019531,-5.34736442565918,-10.818639755249023,8.921331405639648,-10.384184837341309,15.97213077545166,11.561963081359863,9.950945854187012,9.819103240966797,10.671815872192383,7.648326873779297,7.2000412940979,7.654086589813232,6.542558670043945,6.965858459472656,7.444457054138184,6.8487935066223145,6.615317344665527,3072.7082828765106,340.841182917794,3244.719018245053,260.62194111007216,5780.460858585859,708.8091200601837,0.012947944924235344,0.006705242209136486,0.045804500579833984,0.008897839114069939,0.09676517781986532,0.019130909577940648,0.01901313289999962,0.004700447898358107,9.074
-209.77975463867188,69.1466293334961,-63.44509506225586,-20.111295700073242,-46.817665100097656,-45.84075927734375,0.13131031394004822,-30.733427047729492,1.628386378288269,-1.0004167556762695,-4.798173904418945,9.533740043640137,-10.88575267791748,18.730785369873047,19.13920021057129,16.696401596069336,13.355660438537598,13.178596496582031,9.869105339050293,10.35087776184082,10.539473533630371,9.61089038848877,9.645405769348145,7.40266227722168,7.0667572021484375,7.472105026245117,3593.0486315382664,658.3976417135607,3462.9995757137663,453.6146992204438,6489.117412140575,1665.3903415742022,0.019629038870334625,0.016466857865452766,0.04069569706916809,0.012573346495628357,0.12630728334664537,0.038671304658193205,0.017936356365680695,0.006303898990154266,9.09
-223.35740661621094,62.62747573852539,-75.1104507446289,-31.032917022705078,-52.889923095703125,-34.10253143310547,3.744556188583374,-16.176280975341797,8.668013572692871,0.37633949518203735,-5.1319499015808105,4.310366153717041,-11.827154159545898,27.336380004882812,26.415176391601562,20.088924407958984,14.779701232910156,15.1698579788208,14.470125198364258,12.098289489746094,11.686050415039062,10.442290306091309,8.406250953674316,8.668747901916504,8.364356994628906,7.484622001647949,3394.2819113452197,690.6591269069612,3247.3153083286716,404.92198489098087,6146.067831753555,1339.2160853903838,0.01780439168214798,0.016129950061440468,0.04387491196393967,0.02079031988978386,0.12347267476303317,0.04096615193431716,0.020334620028734207,0.01165121328085661,9.099
-185.7538299560547,74.29381561279297,-66.3184585571289,-17.570026397705078,-42.41813278198242,-40.03464889526367,2.346062660217285,-25.108301162719727,2.697165012359619,-0.7007185816764832,-7.921160697937012,7.351467609405518,-8.588807106018066,20.96967887878418,18.485939025878906,16.349578857421875,14.113473892211914,12.059476852416992,9.996004104614258,10.45863151550293,12.88638687133789,8.826203346252441,8.685964584350586,8.110112190246582,7.49422025680542,6.69719123840332,3437.8377523165964,476.23231462882643,3320.1604537192775,346.0124918227171,6099.800281954887,1107.7783887252479,0.01856781169772148,0.01163539569824934,0.04832093417644501,0.013978103175759315,0.12608302984022557,0.02959156413719632,0.021651199087500572,0.007335083093494177,9.99
-188.70106506347656,74.91693878173828,-47.463714599609375,-14.510887145996094,-44.36792755126953,-38.38557434082031,-7.638049602508545,-33.92139434814453,-6.096757888793945,-8.290797233581543,-9.219921112060547,3.921358346939087,-13.393851280212402,16.098468780517578,13.733662605285645,12.127211570739746,12.001458168029785,11.522791862487793,9.393932342529297,8.841584205627441,8.565069198608398,8.029733657836914,7.895045280456543,7.269108772277832,7.816402912139893,6.117455959320068,3618.208430467381,478.68782127601486,3602.2617045380325,351.68890135532405,6866.952537593985,1429.9371866924603,0.02224016934633255,0.011217867955565453,0.04302395507693291,0.009815116412937641,0.12049349447838346,0.025815915690681535,0.017863543704152107,0.004865885712206364,10.471
-172.43463134765625,67.13639831542969,-65.16173553466797,-17.544626235961914,-46.14049530029297,-38.324012756347656,-3.5875420570373535,-26.47582244873047,-4.169381141662598,4.15494966506958,-8.819808959960938,8.048501014709473,-8.190668106079102,17.975860595703125,16.789690017700195,12.825005531311035,10.846086502075195,10.221160888671875,9.788926124572754,8.901057243347168,10.419118881225586,8.288780212402344,8.248787879943848,7.590407848358154,6.314517021179199,6.234203815460205,3567.6420130329334,522.7312485468807,3331.757938998229,338.15432000926955,6355.431309904154,1212.3733212842744,0.02294808253645897,0.014696161262691021,0.05290500074625015,0.01676485873758793,0.13141473642172524,0.02974549157841672,0.023175500333309174,0.007857716642320156,10.504
