mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,spec_centroid_mean,spec_centroid_std,spec_band_mean,spec_band_std,spec_rolloff_mean,spec_rolloff_std,spec_flat_mean,spec_flat_std,rms_mean,rms_std,zero_cross_rate_mean,zero_cross_rate_std,flux_mean,flux_std,band_energy_mean,band_energy_std,debit
-716.9335327148438,50.7422981262207,17.720355987548828,-4.217846870422363,29.864585876464844,-10.15403938293457,23.32557487487793,-7.101022720336914,7.525615215301514,3.6029539108276367,3.380422353744507,3.227712869644165,0.0070839575491845,5.361922740936279,3.9264538288116455,3.3157057762146,2.864644289016724,3.334991931915283,3.119333028793335,3.751568555831909,3.7750651836395264,3.5856525897979736,3.367172718048096,3.3559134006500244,3.926473379135132,3.227628707885742,8.967417234078463,0.0274043817682345,8.643640851171622,0.0088355031172593,9.569259696653308,0.0060069738909074,0.1610889583826065,0.0186433494091033,0.0001266676117666,8.73987482918892e-06,0.4617842004654255,0.0380702959377178,0.0230802744626998,0.0019588775467127,8.471854016534053e-06,1.1509763453432242e-06,0.0
-692.23779296875,53.57986068725586,6.129888534545898,12.24314022064209,30.46888732910156,-3.1816155910491943,29.80677032470703,-12.598526000976562,10.58124828338623,8.964966773986816,-2.169799566268921,8.682829856872559,2.3177249431610107,17.880550384521484,6.666345596313477,12.407880783081056,6.0225019454956055,5.635651588439941,4.8901448249816895,5.350263595581055,6.303050518035889,4.2788987159729,3.834140539169312,5.455321311950684,4.649702548980713,4.741947174072266,8.761096467154843,0.0837838576053227,8.589673692580806,0.0458895435603303,9.525178815245312,0.0252891082242422,0.1136150956153869,0.0340088568627834,0.0001817549782572,3.2246956834569573e-05,0.2836420586768617,0.0518632007092047,0.0265383701771497,0.0060482276603579,2.501390736142639e-05,3.617167021729984e-05,0.001
-493.6388854980469,61.11608505249024,24.674516677856445,13.87026309967041,13.87961769104004,10.880252838134766,7.687803745269775,9.044422149658203,7.0829267501831055,8.582839012145996,6.220574378967285,5.090214252471924,1.865678310394287,13.461488723754885,6.061549186706543,5.29304838180542,4.073737144470215,4.023556232452393,3.33582067489624,3.417022228240967,3.153106212615967,3.4949398040771484,3.9751691818237305,3.826171875,3.299656867980957,3.4800326824188232,8.51640429547866,0.077247526766125,8.516484779374007,0.0249737620468513,9.377126139864776,0.0395079437320709,0.0468942858278751,0.0246405452489852,0.0020825986284762,0.0004821135662496,0.1097619888630319,0.0319461968073752,0.0456108972430229,0.0187226086854934,0.0006247950950637,0.0003063314361497,0.002
-607.6137084960938,59.203155517578125,27.29294204711914,12.623013496398926,13.818490982055664,7.761861801147461,5.9629645347595215,5.791190147399902,4.362057685852051,6.157205581665039,3.0210256576538086,4.312005996704102,2.920931577682495,23.356565475463867,7.421881675720215,5.115642070770264,4.247585296630859,3.859795093536377,3.3167645931243896,3.132128953933716,3.55102276802063,3.5148298740386963,3.315199851989746,3.2867250442504883,3.378329038619995,3.2285730838775635,8.586595889049924,0.0992278896762914,8.534223097114888,0.0308955583099709,9.410942836928047,0.0543808034135694,0.0655114278197288,0.0307202897965908,0.0005901458789594,0.0002401437668595,0.1336695894281915,0.0387566911769542,0.0419288165867328,0.0255008600652217,6.984271749388427e-05,7.565324631286785e-05,0.003
-805.9069213867188,90.03932189941406,12.95746612548828,27.51097679138184,16.195430755615234,12.622942924499512,13.311118125915527,7.969683647155762,10.15423583984375,5.398313999176025,6.158048629760742,4.888347148895264,2.8380494117736816,14.45485496520996,5.478039741516113,6.528619766235352,5.199979782104492,3.843512773513794,4.479854106903076,3.88999080657959,3.638484954833984,3.863734006881714,4.107649803161621,3.8614468574523926,3.22702431678772,3.302101850509644,8.037872355486545,0.1331058241325802,8.33604754776007,0.062600312744921,8.96127008982906,0.1417587742082394,0.0123547315597534,0.0104216374456882,0.0001532890164526,5.498369864653796e-05,0.1062167553191489,0.0540360818841434,0.0513972528278827,0.0193326361477375,1.743522375363682e-06,3.451359589234926e-06,0.005
-602.2600708007812,90.0392074584961,12.957587242126465,27.51091957092285,16.195486068725586,12.62291431427002,13.311113357543944,7.969677925109863,10.15423583984375,5.398286819458008,6.158088684082031,4.8882737159729,2.838137149810791,14.454909324645996,5.47791051864624,6.5286478996276855,5.200012683868408,3.843419313430786,4.479801177978516,3.89000940322876,3.638472080230713,3.8637661933898926,4.1075639724731445,3.8615214824676514,3.227027416229248,3.3021111488342285,8.037874229140332,0.1331066912595936,8.336048995875933,0.0626014682149666,8.96127008982906,0.1417587742082394,0.0114753665402531,0.0096878297626972,0.0012168872635811,0.0004362346662674,0.1062167553191489,0.0540403531108086,0.0513972267508506,0.019332630559802,0.0001099794899346,0.0002175313129555,0.006
-717.0558471679688,47.709774017333984,14.392216682434082,2.122159004211426,26.57936668395996,-7.996870994567871,23.740650177001957,-8.345674514770508,7.159926891326904,4.461291313171387,0.8055832386016846,4.954008102416992,-0.7538937330245972,6.482614994049072,4.240349292755127,4.549982070922852,4.098013877868652,3.108351230621338,3.2782976627349854,2.907935619354248,3.557950496673584,3.4768381118774414,3.224526643753052,3.733754396438599,3.2007641792297363,3.420424699783325,8.914971207680406,0.033084863654655,8.619654069262383,0.0106268580235064,9.55523710978722,0.00763710512474,0.1856350600719452,0.0231877211481332,0.0001171567564597,6.754210062354105e-06,0.4237320270944149,0.0390729803771063,0.0223326701670885,0.0018313301261514,8.597496162110474e-06,2.442196318952483e-06,0.02
-478.859130859375,63.93746948242188,23.863683700561523,14.52380084991455,13.321824073791504,10.255477905273438,7.304970741271973,8.750761985778809,6.288455963134766,7.507208824157715,5.370185375213623,5.741868019104004,2.780136108398437,13.53323745727539,5.546000480651856,5.042356967926025,4.16757869720459,3.3037915229797363,3.3349671363830566,3.724466800689697,3.507667064666748,3.1983673572540283,3.5504181385040283,3.4483776092529297,3.73319149017334,3.097078561782837,8.469364339812696,0.0712263691612919,8.5060802519285,0.0256441857058161,9.354977179484148,0.0388803489434158,0.036347609013319,0.0194004755467176,0.0025955394376069,0.0004889115225523,0.0864829205452127,0.0267573837037832,0.0505650378763675,0.017346890643239,0.0008610876393504,0.0003788608009926,0.021
-706.5521850585938,53.16617584228516,18.752656936645508,8.533355712890625,32.12124252319336,-5.248461246490479,29.350730895996094,-5.759772300720215,11.268224716186523,7.672162055969238,4.1886725425720215,9.32844352722168,3.497587919235229,9.345060348510742,4.728761672973633,5.404623985290527,4.77704381942749,3.95481276512146,3.880606412887573,3.893088579177856,3.739977359771729,3.388911008834839,3.760565280914306,3.807963371276856,3.191927909851074,3.352257490158081,8.831961328406209,0.0609289236251916,8.64524160313848,0.0175456828301079,9.54690276548981,0.0108174065902539,0.0817241072654724,0.0347440503537654,0.0002072165370918,4.911763971904293e-05,0.2526543799867021,0.0615210281414856,0.0294269621372222,0.0083378432318568,1.002689987217309e-05,2.9669254217878915e-06,0.1
-329.3157043457031,15.297667503356934,-15.436257362365724,31.45760536193848,-37.01140594482422,33.49839401245117,1.1617257595062256,29.022933959960938,3.088402509689331,11.689582824707031,0.6565472483634949,0.9408143758773804,2.3916008472442627,24.818092346191406,21.99531555175781,15.188862800598145,22.25378799438477,20.44904899597168,13.644954681396484,11.639859199523926,12.661154747009276,11.312604904174805,10.076333999633787,10.016317367553713,7.336789608001709,8.230649948120117,8.657954257487473,0.1231349136033681,8.08782566680481,0.1083240649005145,9.115353432957678,0.0599744408686206,0.0675238743424415,0.0279794298112392,0.0105115566402673,0.0039919754490256,0.3078327584773936,0.0620533256392357,0.0300723798573017,0.0136327743530273,0.092400811612606,0.1305602490901947,3.7
