mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,spec_centroid_mean,spec_centroid_std,spec_band_mean,spec_band_std,spec_rolloff_mean,spec_rolloff_std,spec_flat_mean,spec_flat_std,rms_mean,rms_std,zero_cross_rate_mean,zero_cross_rate_std,flux_mean,flux_std,band_energy_mean,band_energy_std,debit
-719.0859375,47.580772399902344,17.428916931152344,-3.3584156036376953,28.776180267333984,-10.927175521850586,23.050012588500977,-6.608278274536133,8.41845703125,4.463591575622559,3.1463675498962402,2.6537747383117676,0.15035216510295868,8.632943153381348,3.167203187942505,3.70928955078125,2.3737576007843018,2.4033703804016113,2.8527300357818604,3.634495973587036,4.1410813331604,3.0939924716949463,3.400803804397583,2.821946859359741,2.746689796447754,3.2958593368530273,8.976038180549839,0.020347601291106902,8.641717479587566,0.008535251764339665,9.57064563347214,0.005830064474916817,0.18937236070632935,0.02155585214495659,0.00012252967280801386,1.1208683645236306e-05,0.4683685302734375,0.0667561383843817,0.02256295457482338,0.0018195797456428409,7.797330908942968e-06,1.2146628023401718e-06,0.0
-716.717041015625,49.387847900390625,16.404747009277344,-3.662292003631592,29.003665924072266,-9.933821678161621,23.605939865112305,-6.4651899337768555,7.768591403961182,5.0112504959106445,5.6361188888549805,5.035102844238281,0.5182914733886719,7.714707374572754,3.3000261783599854,3.428668260574341,2.535862922668457,2.7076668739318848,2.927462100982666,4.034989833831787,4.2348408699035645,3.694838047027588,3.5718607902526855,3.713874101638794,3.6901237964630127,4.223379611968994,8.954063531860612,0.02632436335108782,8.644632594597974,0.007297225871889463,9.568188613635495,0.006167684369592888,0.17865070700645447,0.022812508046627045,0.00012690023868344724,1.194429296447197e-05,0.425018310546875,0.05492796991587566,0.02290407009422779,0.0019339288119226694,8.776972208579537e-06,1.4633595810664701e-06,0.0
-715.0697021484375,52.08560562133789,18.266738891601562,-4.330537796020508,28.980194091796875,-9.917795181274414,22.84921646118164,-5.986449241638184,6.247141361236572,1.8312711715698242,1.8846501111984253,1.6758583784103394,0.32605236768722534,10.225194931030273,4.945101737976074,3.930459499359131,3.4058310985565186,3.0075459480285645,3.0951201915740967,3.808943510055542,3.255250930786133,3.7465367317199707,2.9301159381866455,3.6431026458740234,4.04840087890625,2.458574056625366,8.950695786491845,0.02910002588671405,8.648252772735725,0.008954069163645948,9.56918002245024,0.005861647668258516,0.18189465999603271,0.021711602807044983,0.00012664550740737468,1.2636080100492109e-05,0.4365997314453125,0.05217904173312486,0.023037074133753777,0.0021488815546035767,8.62825800140854e-06,1.4992997421359178e-06,0.0
-721.0673217773438,49.71540832519531,17.720703125,-3.7609786987304688,29.69329833984375,-7.953244209289551,22.930988311767578,-7.118256092071533,6.390003204345703,3.254735231399536,4.172145843505859,3.4879188537597656,0.519142746925354,8.504366874694824,2.82818865776062,2.434502363204956,3.121290922164917,4.159055233001709,2.6730411052703857,3.57865047454834,3.5310933589935303,3.756145715713501,2.9702377319335938,3.0470354557037354,3.9527170658111572,3.232060432434082,8.954442416821722,0.022468161476321767,8.644812709648953,0.007693098726663833,9.567473523563288,0.005823853012333983,0.1831306666135788,0.02010376937687397,0.0001195613294839859,1.296412756346399e-05,0.4408416748046875,0.05771010188973018,0.023068867623806,0.0028634113259613514,7.99055487732403e-06,1.3941809129391913e-06,0.0
-716.6250610351562,50.92127990722656,18.924602508544922,-4.271617412567139,29.854206085205078,-9.155150413513184,22.278343200683594,-7.5633745193481445,9.356161117553711,4.338016033172607,4.152329444885254,2.532865285873413,-0.4884398281574249,8.655668258666992,3.4042298793792725,3.025502920150757,3.2096424102783203,3.6417899131774902,2.932302951812744,3.425187587738037,3.936972141265869,3.674591541290283,3.3260843753814697,3.1128103733062744,4.994617462158203,3.6957991123199463,8.966459534747305,0.023880069054642135,8.650862259743679,0.009338164900396479,9.570688094554658,0.004147076675430726,0.1715695858001709,0.02223997749388218,0.00012942129978910089,1.2078512554580811e-05,0.4409637451171875,0.06270938125707175,0.022841138765215874,0.001846686122007668,8.426741260336712e-06,1.1736833585018758e-06,0.0
-716.9278564453125,49.7864990234375,19.446659088134766,-4.009233474731445,29.983421325683594,-8.696076393127441,22.81228256225586,-6.606813430786133,7.561746597290039,2.8282785415649414,3.3783011436462402,3.2268877029418945,-0.08494715392589569,9.200207710266113,4.375189781188965,3.620082378387451,3.0275750160217285,3.945509195327759,3.148191213607788,3.784919500350952,3.1355483531951904,3.071147918701172,2.3558242321014404,2.9285919666290283,3.1233155727386475,2.18340802192688,8.968605062985288,0.03294313971171051,8.645591061185018,0.007790298743935529,9.568965512407708,0.007355596399202488,0.17973503470420837,0.014152447693049908,0.0001266209001187235,9.88859301287448e-06,0.4536285400390625,0.06490519776212254,0.022946162149310112,0.00171752052847296,8.427269676758442e-06,1.474154373681813e-06,0.0
-703.4452514648438,51.508277893066406,14.921697616577148,11.871076583862305,29.879817962646484,-4.350410461425781,28.823408126831055,-9.081158638000488,10.5226411819458,7.6198835372924805,-0.578255295753479,6.487612724304199,1.9527195692062378,9.057807922363281,5.925685882568359,4.044670581817627,4.768965721130371,4.842411518096924,5.41409158706665,4.253777980804443,3.053302526473999,4.040116310119629,2.5292491912841797,4.278212070465088,4.415614128112793,3.617588758468628,8.815592785994138,0.04765484047581599,8.623468860309698,0.02133156833044219,9.54398783784018,0.008051426810183056,0.13142843544483185,0.04758833348751068,0.00016715528909116983,2.497454988770187e-05,0.2976837158203125,0.06995860252711744,0.02727743797004223,0.00509154936298728,1.1061996701755561e-05,1.9662488739413675e-06,0.001
-692.3331298828125,56.91388702392578,6.987704277038574,7.930178642272949,31.374807357788086,-4.282746315002441,25.04999542236328,-11.804141998291016,11.2446870803833,8.448522567749023,-2.7462410926818848,6.56287145614624,2.748194694519043,24.52303123474121,11.189657211303711,10.565373420715332,6.839966297149658,5.361407279968262,6.409029483795166,5.948629379272461,6.455456256866455,4.887924671173096,3.5332462787628174,5.024911403656006,3.9055893421173096,5.208090305328369,8.756185563199786,0.10550942358990635,8.602369401188845,0.03371258749797425,9.528792421297442,0.025483585989536015,0.1281692087650299,0.029494378715753555,0.00017443206161260605,3.15824436256662e-05,0.278656005859375,0.05312842154704228,0.02621297724545002,0.005081888288259506,2.8192549507366493e-05,2.5648954760981724e-05,0.001
-705.215576171875,52.15840148925781,14.56755256652832,13.750326156616211,33.14320373535156,-1.3574817180633545,28.99949836730957,-6.441838264465332,11.467218399047852,11.358885765075684,3.437174081802368,8.636953353881836,0.8534350395202637,10.089587211608887,4.552649021148682,8.047001838684082,4.680473804473877,3.0125374794006348,3.903780460357666,3.752194881439209,5.655667781829834,3.882866859436035,4.151034355163574,3.210604190826416,3.0920448303222656,3.5401127338409424,8.774975168718859,0.0395892323134911,8.620194915812231,0.02245403592159867,9.534456126306527,0.009020318207902252,0.10752218961715698,0.034794870764017105,0.00018146639922633767,3.196741818101145e-05,0.2392578125,0.0523293090941491,0.028547164052724838,0.0068022869527339935,1.1324815204716288e-05,4.7047933549038135e-06,0.001
-702.5804443359375,50.769527435302734,13.20894718170166,11.367137908935547,28.691818237304688,-3.5375211238861084,28.015605926513672,-11.468931198120117,10.073219299316406,8.42323112487793,-1.6634223461151123,6.007856369018555,0.2853269577026367,10.479265213012695,3.682417154312134,4.391083240509033,5.771650791168213,5.552504539489746,3.6625759601593018,4.753016471862793,3.8582394123077393,4.211649417877197,3.032404661178589,3.1369240283966064,4.273886680603027,2.8282673358917236,8.821285450940934,0.03230207250052341,8.611602806072725,0.020096924590347814,9.537800594621181,0.009499597323978055,0.15312404930591583,0.034850139170885086,0.00015250244177877903,2.0377841792651452e-05,0.31634521484375,0.054271306391562225,0.02434406615793705,0.0025765770114958286,1.132917168433778e-05,2.5468937110417755e-06,0.001
